SP-Code,Local-Name,Gen-Code,SP-Name,Royal-Class
KRPM,KRORNHOUNG,DALBERGIA,CONCHINCHI,LUXU
KRSR,KRORNG SOEUR,,,Non Class 
KRUS,KHOES REOUS,,,Non Class 
KRVN,KRORVANN,,,Non Class 
KRYS,KRAY SAR,ALBIZZIA,THORELLI,THIR
KTIT,KTITH,,,Non Class 
KTOM,KHTOM,STEPHEGYNE,DIVERSIFOLLIA,Non Class 
KWAV,KHVAO,ADINA,CORDIFOLIA,SECO
LGNG,LO NGIENG,CRATOXYLON,PRUNIFOLI,THIR
LMBI,LUMBOR,SHOREA,SP.,SECO
LORT,LORT,,,Non Class 
LORV,LOR VEA,,,Non Class 
LOVG,LORVING,,,Non Class 
LRLT,LORLOT,,,Non Class 
MADN,MADEHN ,,,Non Class 
MAKG,MAK BREING,,,Non Class 
MAKP,MAK PRANG,BOUEA,BURMANICA,Non Class 
MAKU,MAK KLOEU,DIOSPYROS,MOLLIS,Non Class 
MASK,MEYSAK,TECTONA,GRANDIS,FIRS
MDAS,MADEHN MEAS,,,Non Class 
MMAG,MOR MANG,,,Non Class 
MNPR,MEAN PREY,EUPHORIA,CAMBODIANA,Non Class 
MTYK,MLOUTRAYOUK,,,Non Class 
NENS,NEANG SAR,CLEISTANTU,EBURNEUS,Non Class 
NGOK,NGOK,,,Non Class 
NHAM,NHAM,,,Non Class 
NIV,NIV,,,Non Class 
NNON,NEANG NOUN,DALBERGIA,BARIENSIS,LUXU
ONLK,ONLOK PHOR EM,,,Non Class 
PAGA,PA NGAB,,,Non Class 
PAGS,PA NGES,,,Non Class 
PANG,PANG,STERCULIAC,PTEROSPERMUN SP,Non Class 
PCEK,PHCEK,SHOREA,OBTUSA,FIRS
PECH,PECH CHANGVA,,,Non Class 
PHDK,PHDEAK,ANISOPTERA,GLABRA,SECO
PHLG,PHLANG,,,Non Class 
PHMA,PHNERK CHMA,,,Non Class 
PHNO,PHNOM PHNERNG,HYMENOCARDIA,RIPARIA,Non Class 
PHNV,PHNHEAV,BACCAUREA,RAMIFLORA,Non Class 
PHON,PHAONG,CALLOPHYLL,SP,THIR
PHOR,PHOR,,,Non Class 
PHUT,PROR HOUT,,,Non Class 
PLNG,PLOV NEANG,HOMALIUM,TOMENTOSURN,Non Class 
PLOG,PLUOUNG,BRUGUIERA,SEXANGULA,Non Class 
PLOK,PLONG KEOV,MELASTOMAC,MEMECYYLON SP,Non Class 
